,disease_idx,miRNA_idx,label
0,0,71,1
1,0,72,1
2,0,73,1
3,0,206,1
4,0,215,1
5,0,231,1
6,0,279,1
7,0,281,1
8,0,315,1
9,0,316,1
10,0,346,1
11,0,700,1
12,1,14,1
13,1,94,1
14,1,357,1
15,2,13,1
16,2,54,1
17,2,70,1
18,2,85,1
19,2,201,1
20,2,213,1
21,2,295,1
22,2,316,1
23,2,327,1
24,2,333,1
25,2,337,1
26,2,340,1
27,2,373,1
28,2,443,1
29,2,458,1
30,2,459,1
31,2,461,1
32,2,601,1
33,2,696,1
34,2,1021,1
35,3,14,1
36,3,33,1
37,3,54,1
38,3,70,1
39,3,94,1
40,3,141,1
41,3,178,1
42,3,179,1
43,3,182,1
44,3,183,1
45,3,201,1
46,3,214,1
47,3,217,1
48,3,227,1
49,3,238,1
50,3,264,1
51,3,295,1
52,3,296,1
53,3,307,1
54,3,310,1
55,3,311,1
56,3,312,1
57,3,315,1
58,3,316,1
59,3,321,1
60,3,335,1
61,3,352,1
62,3,355,1
63,3,361,1
64,3,389,1
65,3,392,1
66,3,454,1
67,3,472,1
68,3,542,1
69,3,568,1
70,3,694,1
71,3,706,1
72,3,708,1
73,3,709,1
74,3,958,1
75,3,1029,1
76,3,1054,1
77,4,8,1
78,4,94,1
79,4,199,1
80,4,206,1
81,4,215,1
82,4,227,1
83,4,234,1
84,4,238,1
85,4,254,1
86,4,256,1
87,4,295,1
88,4,296,1
89,4,308,1
90,4,313,1
91,4,337,1
92,4,338,1
93,4,707,1
94,4,1011,1
95,4,1015,1
96,4,1029,1
97,5,1,1
98,5,5,1
99,5,7,1
100,5,9,1
101,5,12,1
102,5,15,1
103,5,16,1
104,5,17,1
105,5,19,1
106,5,22,1
107,5,23,1
108,5,24,1
109,5,33,1
110,5,34,1
111,5,35,1
112,5,70,1
113,5,71,1
114,5,72,1
115,5,73,1
116,5,91,1
117,5,92,1
118,5,93,1
119,5,126,1
120,5,128,1
121,5,131,1
122,5,173,1
123,5,190,1
124,5,191,1
125,5,192,1
126,5,195,1
127,5,198,1
128,5,199,1
129,5,200,1
130,5,206,1
131,5,213,1
132,5,214,1
133,5,219,1
134,5,222,1
135,5,223,1
136,5,224,1
137,5,227,1
138,5,229,1
139,5,230,1
140,5,231,1
141,5,233,1
142,5,234,1
143,5,244,1
144,5,253,1
145,5,255,1
146,5,256,1
147,5,264,1
148,5,272,1
149,5,276,1
150,5,303,1
151,5,309,1
152,5,313,1
153,5,315,1
154,5,320,1
155,5,330,1
156,5,336,1
157,5,352,1
158,5,353,1
159,5,354,1
160,5,355,1
161,5,357,1
162,5,363,1
163,5,368,1
164,5,369,1
165,5,370,1
166,5,371,1
167,5,372,1
168,5,376,1
169,5,394,1
170,5,447,1
171,5,458,1
172,5,464,1
173,5,469,1
174,5,472,1
175,5,474,1
176,5,485,1
177,5,522,1
178,5,561,1
179,5,614,1
180,5,691,1
181,5,718,1
182,5,722,1
183,5,733,1
184,5,734,1
185,5,802,1
186,5,810,1
187,5,876,1
188,5,900,1
189,5,956,1
190,5,981,1
191,5,982,1
192,5,1000,1
193,5,1014,1
194,5,1021,1
195,5,1022,1
196,5,1024,1
197,5,1027,1
198,5,1029,1
199,5,1033,1
200,5,1034,1
201,5,1038,1
202,5,1052,1
203,6,123,1
204,6,213,1
205,6,214,1
206,6,221,1
207,6,633,1
208,6,669,1
209,6,693,1
210,6,726,1
211,6,956,1
212,6,999,1
213,7,32,1
214,7,179,1
215,7,197,1
216,7,207,1
217,7,213,1
218,7,271,1
219,7,273,1
220,7,276,1
221,7,284,1
222,7,302,1
223,7,307,1
224,7,315,1
225,7,316,1
226,7,317,1
227,7,333,1
228,7,346,1
229,7,353,1
230,7,354,1
231,7,369,1
232,7,376,1
233,7,387,1
234,7,388,1
235,7,389,1
236,7,394,1
237,7,403,1
238,7,472,1
239,7,501,1
240,7,530,1
241,7,544,1
242,7,570,1
243,7,643,1
244,7,722,1
245,7,738,1
246,7,753,1
247,7,862,1
248,7,918,1
249,7,925,1
250,7,988,1
251,7,1055,1
252,8,241,1
253,8,307,1
254,8,694,1
255,9,14,1
256,9,37,1
257,9,47,1
258,9,178,1
259,9,179,1
260,9,180,1
261,9,181,1
262,9,405,1
263,10,1,1
264,10,2,1
265,10,3,1
266,10,4,1
267,10,5,1
268,10,6,1
269,10,7,1
270,10,8,1
271,10,9,1
272,10,10,1
273,10,11,1
274,10,12,1
275,10,13,1
276,10,14,1
277,10,54,1
278,10,91,1
279,10,94,1
280,10,96,1
281,10,123,1
282,10,179,1
283,10,199,1
284,10,201,1
285,10,206,1
286,10,207,1
287,10,213,1
288,10,214,1
289,10,221,1
290,10,227,1
291,10,229,1
292,10,231,1
293,10,238,1
294,10,254,1
295,10,256,1
296,10,268,1
297,10,280,1
298,10,295,1
299,10,303,1
300,10,315,1
301,10,333,1
302,10,335,1
303,10,337,1
304,10,338,1
305,10,344,1
306,10,359,1
307,10,369,1
308,10,372,1
309,10,412,1
310,10,466,1
311,10,467,1
312,10,624,1
313,10,691,1
314,10,693,1
315,10,707,1
316,10,861,1
317,10,982,1
318,10,992,1
319,10,1011,1
320,10,1015,1
321,10,1021,1
322,10,1029,1
323,10,1033,1
324,11,5,1
325,11,6,1
326,11,12,1
327,11,15,1
328,11,16,1
329,11,19,1
330,11,33,1
331,11,34,1
332,11,35,1
333,11,36,1
334,11,46,1
335,11,54,1
336,11,91,1
337,11,94,1
338,11,99,1
339,11,110,1
340,11,173,1
341,11,178,1
342,11,179,1
343,11,180,1
344,11,181,1
345,11,182,1
346,11,183,1
347,11,189,1
348,11,190,1
349,11,198,1
350,11,199,1
351,11,200,1
352,11,201,1
353,11,203,1
354,11,206,1
355,11,207,1
356,11,217,1
357,11,221,1
358,11,227,1
359,11,231,1
360,11,234,1
361,11,238,1
362,11,241,1
363,11,246,1
364,11,252,1
365,11,295,1
366,11,296,1
367,11,309,1
368,11,313,1
369,11,315,1
370,11,316,1
371,11,324,1
372,11,333,1
373,11,335,1
