GEO series	Title	Authors	Pubmed ID	Species	Cancer type	Cancer SubType	Cell line	GEO platform	Number of samples
GSE2399	MicroRNA expression in lymphoma lines	He L, Thomson JM, Hemann MT, Hernando-Monge E et al.	15944707	Homo sapiens	lymphoma, leukemia 			GPL1899	40
GSE2564	MicroRNA expression profiles classify human cancers	Lu J, Getz G, Miska EA	15944708	Homo sapiens	breast cancer, renal carcinoma, lung cancer, prostate cancer, uterus carcinoma			GPL1986	334
GSE4589	Breast tumor miRNA profiling	Mattie MD, Haqq CM, Benz CC, Scott GK, Fedele V	16784538	Homo sapiens	breast cancer			GPL3238	20
GSE5244	Human Uterine Leiomyomata microRNA gene expression	Wang T, Zhang X, Obijuru L, Aris V, Lee P, Mittal K, Soteropoulos P, Wei J	17243163	Homo sapiens	uterus cancer			GPL3879	51
GSE6188	Distinctive microRNA profiles relating to patient survival in esophageal squamous cell carcinoma	Guo Y	18172293	Homo sapiens	esophageal cancer			GPL4508	257
GSE6636	Prostate miRNA expression profiles	Mattie MD, Haqq CM, Simko J, Dai C, Carroll P, Chew K		Homo sapiens	prostate cancer			GPL3238 	47
GSE7072	Profiling miRNAs in human retinoblastoma	Huang JC, Babak T, Hughes TR, Corson TW, Frey B, Morris Q, Chua G, Blencowe BJ	18026111	Homo sapiens	retinoblastoma			GPL4879	6
GSE7842	MicroRNA expression profiling of human breast cancer identifies new markers of tumour subtype	Blenkiron C, Goldstein LD, Thorne NP, Spiteri MI, Chin S, Dunning M, Barbosa-Morais NL, Teschendorff AE, Green AR, Ellis IO, Tavaré S, Caldas C, Miska EA	17922911	Homo sapiens	breast cancer	ER postive/negative		GPL5173	119
GSE8126	Genomic profiling of microRNA and messenger RNA reveals deregulated microRNA expression in prostate cancer	Ambs S, Hudson R, Yi M	18676839	Homo sapiens	prostate cancer			GPL5180 	76
GSE10259	Characterization of microRNA expression in colorectal cancer	Arndt GM, Dossey L, Cullen LM, Lai 	19843336	Homo sapiens	colorectal cancer			GPL4411	66
GSE10694	MicroRNAs expression profile in human hepatocellular carcinoma	Li W, Gu J	18649363	Homo sapiens	hepatocellular carcinoma			GPL6542 	166
GSE11016	miRNA profiling of adult and pediatric renal tumors	Kort EJ	18519660	Homo sapiens	kidney cancer	Wilms tumur		GPL6668	32
GSE11163	miRNA expression in head and neck squamous cell carcinoma (HNSCC)	Avissar M, Christensen BC, Kelsey KT, Marsit CJ	19351747	Homo sapiens	head and neck cancer			GPL6690 	27
GSE12105	Array-based miRNA Profiling of Clear Cell Renal Cell Cancer	Hans-Joachim M, Klaus J, Monika J, Glenn K	19228262	Homo sapiens	kidney cancer	clear cell renal cell carcinoma		GPL6955	24
GSE12303	microRNA expression profiling in human medulloblastoma	Ferretti E, De Smaele E, Po A, Gulino A	18973228	Homo sapiens	brain cancer	medulloblastoma		GPL7114 	48
GSE12933	miRNA profiles of diffuse large B cell lymphoma (DLBCL) derived cell lines	Malumbres R, Lossos IS	19047678	Homo sapiens	lymphomas			GPL7373	8
GSE13030	Human primary and secondary glioblastoma vs. non-neoplastic adult brain tissue	D'Urso OF, D'Urso PI, Ciappetta P		Homo sapiens	brain cancer	glioblastoma 		GPL7389 	93
GSE14857	MicroRNA Profiling Identifies Potential Diagnostic and Prognostic Markers in Prostate Cancer	Mollenkopf H, Jung K, Jung M, Schäfer A, Stephan C, Lein M, Kristiansen G	19676045	Homo sapiens	prostate cancer			GPL6955	24
GSE15008	MicroRNA Expression Profile Reveals Important Clinical Tools for the Pathology of Lung Cancer	Tan X, Qin W, Zhang L, Hang J		Homo sapiens	lung cancer			GPL8176	375
GSE16025	miRNA prognostic profiles in lung cancer	miRNA prognostic profiles in lung cancer	19584273	Homo sapiens	lung cancer			GPL5106	71
