hsa-let-7f-2	kidney cancer	up-regulated	microarray	2007	Micro-RNA profiling in kidney and bladder cancers.
hsa-let-7g	hepatocellular carcinoma (HCC)	down-regulated	Northern blot, qRT-PCR etc	2008	Identification of metastasis-related microRNAs in hepatocellular carcinoma.
hsa-let-7g	lung cancer	down-regulated	Northern blot, qRT-PCR etc	2007	The let-7 microRNA represses cell proliferation pathways in human cells.
hsa-let-7g	non-small cell lung cancer (NSCLC)	down-regulated	Northern blot, qRT-PCR etc	2008	Suppression of non-small cell lung tumor development by the let-7 microRNA family.
hsa-let-7g	ovarian cancer (OC)	down-regulated	Northern blot, qRT-PCR etc	2007	Let-7 expression defines two differentiation stages of cancer.
hsa-let-7g	colorectal cancer	up-regulated	Northern blot, qRT-PCR etc	2006	Differentially regulated micro-RNAs and actively translated messenger RNA transcripts by tumor suppressor p53 in colon cancer.
hsa-let-7g	head and neck squamous cell carcinoma (HNSCC)	up-regulated	microarray	2007	High mobility group A2 is a target for miRNA-98 in head and neck squamous cell carcinoma.
hsa-let-7g	hepatocellular carcinoma (HCC)	down-regulated	microarray	2007	Cyclin G1 is a target of miR-122a, a microRNA frequently down-regulated in human hepatocellular carcinoma.
hsa-let-7g	malignant melanoma	down-regulated	Northern blot, qRT-PCR etc	2008	MicroRNA let-7b targets important cell cycle molecules in malignant melanoma cells and interferes with anchorage-independent growth.
hsa-let-7g	Oral Squamous Cell Carcinoma (OSCC)	down-regulated	microarray	2008	Exploration of tumor-suppressive microRNAs silenced by DNA hypermethylation in oral cancer.
hsa-let-7g	prostate cancer	down-regulated	microarray	2007	MicroRNA expression profiling in prostate cancer.
hsa-let-7g	prostate cancer	up-regulated	microarray	2008	Expression of microRNAs and protein-coding genes associated with perineural invasion in prostate cancer.
hsa-let-7i	Alzheimer's disease	down-regulated	microarray	2008	Loss of microRNA cluster miR-29a/b-1 in sporadic Alzheimer's disease correlates with increased BACE1/beta-secretase expression.
hsa-let-7i	breast cancer	up-regulated	microarray	2005	MicroRNA gene expression deregulation in human breast cancer.
hsa-let-7i	head and neck squamous cell carcinoma (HNSCC)	up-regulated	microarray	2007	High mobility group A2 is a target for miRNA-98 in head and neck squamous cell carcinoma.
hsa-miR-1	cardiac hypertrophy	down-regulated	Northern blot, qRT-PCR etc	2008	MicroRNAs play an essential role in the development of cardiac hypertrophy.
hsa-miR-1	cardiac hypertrophy	down-regulated	Northern blot, qRT-PCR etc	2008	Down-regulation of miR-1/miR-133 contributes to re-expression of pacemaker channel genes HCN2 and HCN4 in hypertrophic heart.
hsa-miR-203	pancreatic ductal adenocarcinoma (PDAC)	up-regulated	microarray	2007	MicroRNA expression alterations are linked to tumorigenesis and non-neoplastic processes in pancreatic ductal adenocarcinoma.
hsa-miR-203	uterine leiomyoma (ULM)	down-regulated	microarray	2008	Differential expression of microRNA species in human uterine leiomyoma versus normal myometrium.
hsa-miR-204	acute myeloid leukemia (AML)	down-regulated	Northern blot, qRT-PCR etc	2008	Distinctive microRNA signature of acute myeloid leukemia bearing cytoplasmic mutated nucleophosmin.
hsa-miR-204	breast cancer	down-regulated	microarray	2005	MicroRNA gene expression deregulation in human breast cancer.
